date,state,positive,posNeg
20200622,IL,138224.0,1380003
20200622,IN,42633.0,418916
20200622,KS,12465.0,155013
20200622,KY,13839.0,322032
20200622,LA,50239.0,618064
20200622,MA,107210.0,780063
20200622,MD,64603.0,474725
20200622,ME,2971.0,81004
20200622,MI,67957.0,918017
20200622,MN,33227.0,513137
20200622,MO,18143.0,317374
20200622,MS,22287.0,253249
20200622,MT,740.0,71305
20200622,NC,53605.0,757345
20200622,ND,3313.0,97453
20200622,NE,17810.0,156508
20200622,NH,5544.0,108862
20200622,NJ,169415.0,1267399
20200622,NM,10565.0,293431
20200622,NV,13535.0,244065
20200622,NY,388488.0,3452099
20200622,OH,45537.0,659601
20200622,OK,10733.0,282658
20200622,OR,7083.0,206628
20200622,PA,82186.0,667848
20200622,RI,16459.0,218668
20200622,SC,25701.0,303880
20200622,SD,6326.0,73329
20200622,TN,35553.0,700105
20200622,TX,114881.0,1549009
20200622,UT,17906.0,299312
20200622,VA,58465.0,558123
20200622,VT,1163.0,58607
20200622,WA,28680.0,474938
20200622,WI,27878.0,494512
20200622,WV,2552.0,151204
20200622,WY,1230.0,27392
20200621,AK,755.0,88051
20200621,AL,30021.0,344678
20200621,AR,15142.0,242234
20200621,AZ,52390.0,419744
20200621,CA,173824.0,3319256
20200621,CO,30349.0,278386
20200621,CT,45755.0,395428
20200621,DE,10775.0,94974
20200621,FL,97291.0,1599296
20200621,GA,64701.0,698307
20200621,HI,803.0,67860
20200621,IA,25963.0,257152
20200621,ID,4006.0,72968
20200621,IL,137762.0,1361784
20200621,IN,42423.0,411920
20200621,KS,12059.0,147649
20200621,KY,13750.0,317281
20200621,LA,49778.0,610812
20200621,MA,107061.0,773320
20200621,MD,64306.0,469031
20200621,ME,2957.0,80990
20200621,MI,67711.0,907426
20200621,MN,32920.0,504363
20200621,MO,18003.0,315157
20200621,MS,20641.0,238715
20200621,MT,717.0,70357
20200621,NC,52801.0,745775
20200621,ND,3288.0,96173
20200621,NE,17707.0,154241
20200621,NH,5518.0,105885
20200621,NJ,169142.0,1244967
20200621,NM,10565.0,293431
20200621,NV,13205.0,241691
20200621,NY,387936.0,3395319
20200621,OH,44808.0,643221
20200621,OK,10515.0,282440
20200621,OR,6937.0,202611
20200621,PA,81730.0,657745
20200621,RI,16337.0,214589
20200621,SC,24693.0,302667
20200621,SD,6297.0,73026
20200621,TN,35102.0,685629
20200621,TX,111601.0,1526180
20200621,UT,17462.0,296395
20200621,VA,57994.0,545676
20200621,VT,1159.0,57845
20200621,WA,28225.0,466069
20200621,WI,27615.0,487949
20200621,WV,2543.0,150589
20200621,WY,1197.0,27359
20200620,AK,743.0,86918
20200620,AL,29549.0,339523
20200620,AR,15142.0,242234
20200620,AZ,49798.0,405280
20200620,CA,169309.0,3234412
20200620,CO,30187.0,273069
20200620,CT,45715.0,391655
20200620,DE,10681.0,92416
20200620,FL,93797.0,1561272
20200620,GA,63809.0,694384
20200620,HI,789.0,66734
20200620,IA,25496.0,250207
20200620,ID,3871.0,71196
20200620,IL,137104.0,1337968
20200620,IN,42061.0,401802
20200620,KS,12059.0,147649
20200620,KY,13630.0,317161
20200620,LA,49385.0,604816
20200620,MA,106936.0,764937
20200620,MD,63956.0,462280
20200620,ME,2938.0,79576
20200620,MI,67545.0,894634
20200620,MN,32467.0,492043
20200620,MO,17590.0,311115
20200620,MS,20641.0,238715
20200620,MT,698.0,69530
20200620,NC,51389.0,731341
20200620,ND,3251.0,94231
20200620,NE,17591.0,151854
20200620,NH,5486.0,105567
20200620,NJ,168834.0,1218873
20200620,NM,10260.0,284602
20200620,NV,12931.0,238963
20200620,NY,387272.0,3327793
20200620,OH,44262.0,629965
20200620,OK,10037.0,281962
20200620,OR,6750.0,194095
20200620,PA,81266.0,647727
20200620,RI,16337.0,214589
20200620,SC,23786.0,296249
20200620,SD,6225.0,71915
20200620,TN,34446.0,675340
20200620,TX,107735.0,1463398
20200620,UT,17068.0,292877
20200620,VA,57443.0,531404
20200620,VT,1147.0,57028
20200620,WA,28680.0,475151
20200620,WI,27326.0,481889
20200620,WV,2486.0,148396
20200620,WY,1179.0,27341
20200619,AK,722.0,83631
20200619,AL,29002.0,331325
20200619,AR,14631.0,234772
20200619,AZ,46689.0,392216
20200619,CA,165416.0,3155702
20200619,CO,29901.0,264446
20200619,CT,45557.0,379878
20200619,DE,10611.0,90434
20200619,FL,89748.0,1532871
20200619,GA,62009.0,670306
20200619,HI,762.0,65744
20200619,IA,25275.0,246649
20200619,ID,3743.0,69545
20200619,IL,136470.0,1312003
20200619,IN,41746.0,392887
20200619,KS,12059.0,147649
20200619,KY,13454.0,311227
20200619,LA,48515.0,590909
20200619,MA,106650.0,750807
20200619,MD,63548.0,453669
20200619,ME,2913.0,77161
20200619,MI,67097.0,879928
20200619,MN,32031.0,475152
20200619,MO,17201.0,306284
20200619,MS,20641.0,238715
20200619,MT,666.0,68422
20200619,NC,49840.0,712313
20200619,ND,3226.0,92606
20200619,NE,17415.0,147846
20200619,NH,5450.0,103725
20200619,NJ,168496.0,1194343
20200619,NM,10153.0,280175
20200619,NV,12486.0,234360
20200619,NY,386556.0,3258963
20200619,OH,43731.0,616036
